75295	75295	45
586877	586877	18
7935	7935	2,927
144445	144445	157
69017	69017	142
6291	6291	739
1442399	1442399	4
91869	91869	8
17676	17676	1,160
164678	164678	2,239
19727	19727	298
1076974	1076974	238
394551	394551	30
91959	91959	139
16389	16389	1,009
75356	75356	114
6994	6994	452
22185	22185	89
4994	4994	4,228
31159	31159	45
4757	4757	918
2646803	2646803	8
117045	117045	178
3701	3701	2,469
20185	20185	336
16599	16599	14
5232	5232	1,445
480118	480118	33
11275	11275	1,588
731629	731629	753
1465	1465	2,786
164708	164708	304
347020	347020	1,753
164711	164711	2,732
7614	7614	1,977
36192	36192	235
26970	26970	1,037
91912	91912	78
69585	69585	65
1625	1625	8,140
3137	3137	3,078
12518	12518	985
6559	6559	11
75892	75892	44
2206	2206	9,133
2980	2980	3,229
154077	154077	248
255711	255711	133
2701	2701	26,199
551206	551206	1,030
19823	19823	352
15788	15788	4,678
11057	11057	294
164731	164731	709
2861	2861	4,771
8034	8034	7,318
52488	52488	2,066
1203	1203	703
16206	16206	273
21582	21582	309
164732	164732	506
131811	131811	159
131817	131817	217
20915	20915	400
2250	2250	4,215
438302	438302	46
39204	39204	322
18190	18190	884
10281	10281	1,072
4307	4307	5,398
639215	639215	8
11059	11059	2,388
18189	18189	793
3122	3122	20
118763	118763	204
164740	164740	1,126
8525	8525	414
1337	1337	4,545
83708	83708	547
2486	2486	311
920640	920640	2
37685	37685	581
15700	15700	284
47148	47148	242
318858	318858	1,179
7173	7173	160
11624	11624	387
6593	6593	3,306
164748	164748	454
8154	8154	28
83765	83765	170
1319	1319	65,093
7542	7542	3,130
16950	16950	254
14709	14709	1,716
37788	37788	376
4328	4328	992
7462	7462	1,963
11079	11079	1,669
9082	9082	2,248
35108	35108	852
7177	7177	519
5790	5790	1,297
204367	204367	488
164771	164771	7,014
4128	4128	48,969
41004	41004	1,129
6327	6327	35
3815	3815	778
20700	20700	1,205
282043	282043	461
64581	64581	621
11124	11124	300
14089	14089	462
1132572	1132572	3
2327858	2327858	375
59669	59669	276
5667	5667	4,469
6628	6628	2
164798	164798	8,454
210781	210781	18
20190	20190	613
59781	59781	193
164881	164881	3,595
118131	118131	4
10008	10008	1,109
2965109	2965109	131
11971	11971	237
1291087	1291087	200
92911	92911	145
19688	19688	1,321
2152720	2152720	24
1424742	1424742	2
16087	16087	477
2077	2077	84
69419	69419	63
5318	5318	1,526
1075291	1075291	3,169
164979	164979	1,622
9307	9307	63
1328264	1328264	31
8414	8414	80
5884	5884	825
6591	6591	735
24034	24034	2,309
6489	6489	359
1622771	1622771	42
1622771	1622771	42
6387	6387	824
3571	3571	19
19201	19201	73
214560	214560	734
18098	18098	1,017
35133	35133	619
131648	131648	356
5040	5040	264
55981	55981	297
15929	15929	935
2092	2092	738
104717	104717	247
104791	104791	154
2300	2300	43,342
558151	558151	303
14288	14288	255
2322	2322	910
5439	5439	571
5438	5438	3,272
40912	40912	678
6084	6084	115
164815	164815	105
19305	19305	105
2827163	2827163	64
131493	131493	76
27037	27037	385
20453	20453	23
559815	559815	383
41020	41020	316
207989	207989	22
3192	3192	2,006
5461	5461	5,240
1788720	1788720	197
52615	52615	275
104957	104957	50
4376	4376	1,118
164835	164835	3,561
1799	1799	6,931
